id,extroversion,neurotic,agreeable,conscientious,open,TimeSpent
370320,1.8,3.0,3.0,1.2,3.8,1.69
319353,1.4,3.2,3.0,1.2,4.0,2.81
65779,2.8,2.4,2.6,4.4,3.6,2.02
55385,2.0,2.8,3.4,3.4,3.4,2.7
563841,4.0,2.8,2.4,3.0,4.4,0.95
544561,2.0,3.2,2.8,3.4,2.2,1.76
970357,1.8,3.6,2.6,5.0,4.2,1.63
845598,2.2,3.6,2.2,2.6,4.2,3.12
893069,2.6,3.4,2.4,2.0,4.2,1.53
508360,5.0,3.4,2.2,3.8,3.6,2.16
776103,2.6,2.8,2.4,3.8,4.4,2.27
724404,4.0,3.0,2.4,3.2,2.4,1.63
838949,1.6,3.8,3.0,3.2,3.4,3.91
1000820,3.2,2.0,2.4,2.2,4.2,1.69
179673,2.6,3.0,2.8,2.8,4.0,1.57
46627,1.0,3.0,3.2,3.2,3.4,1.86
340944,3.0,3.4,2.6,2.8,3.0,2.95
955402,1.2,3.6,3.4,1.4,4.0,1.8
276877,1.8,3.4,2.8,2.2,4.0,2.03
252544,3.4,3.4,2.4,4.8,4.0,2.37
262580,4.6,4.2,3.0,4.2,3.2,1.2
292936,3.8,2.8,3.6,2.6,4.2,2.01
711731,2.0,3.6,2.0,2.8,4.0,0.98
81100,3.8,3.4,2.0,2.2,4.0,1.35
505803,3.6,4.2,2.8,4.8,3.8,1.11
792118,4.8,3.2,1.6,2.4,4.6,1.69
1013267,2.6,3.8,2.0,4.0,3.6,1.94
244310,1.0,3.4,2.0,3.8,2.4,2.33
799642,3.0,3.0,3.0,2.8,3.0,1.32
775763,2.4,3.6,2.0,3.4,4.0,1.65
680904,4.8,2.2,2.4,1.2,4.0,2.03
79846,3.2,3.0,2.4,2.6,3.6,1.19
270693,2.6,4.0,2.8,4.0,4.4,2.42
242510,1.4,2.6,2.2,3.4,3.8,1.5
857003,3.4,3.0,2.2,3.6,3.2,3.15
510127,3.2,2.8,2.0,2.0,3.6,4.92
544840,1.4,2.4,1.8,3.0,4.2,1.42
701807,4.0,3.2,2.4,2.0,3.8,0.94
957443,1.0,3.4,2.4,3.4,4.2,2.56
432415,1.0,3.2,3.6,4.2,4.0,1.6
93899,2.4,3.6,3.2,2.0,3.8,2.68
650225,2.6,2.4,2.6,2.6,4.2,1.65
720155,1.0,3.2,1.8,2.4,3.8,1.5
832059,2.2,3.4,2.0,3.8,3.6,1.42
475099,1.6,3.4,2.0,3.2,4.2,2.66
667154,2.0,3.4,3.2,3.6,3.2,1.39
595490,2.4,2.8,3.0,2.0,4.0,2.26
558758,1.6,3.2,2.4,2.0,3.6,0.96
585239,3.6,4.2,1.8,5.0,4.4,2.2
793067,2.2,2.4,4.0,1.6,3.6,1.32
66645,2.2,2.8,2.8,4.8,4.0,1.04
510548,2.4,4.2,2.6,4.0,3.8,3.23
2658,1.6,3.4,2.2,3.2,3.8,2.61
104128,2.4,3.0,3.2,4.2,3.8,1.71
302670,3.6,3.8,2.2,3.8,3.4,1.46
540545,5.0,3.6,2.0,2.2,4.2,1.51
357199,3.2,3.6,3.2,3.4,3.4,1.72
417476,2.6,2.4,4.0,3.4,3.2,2.98
773374,2.2,3.6,2.2,5.0,4.4,1.65
486215,2.8,3.2,1.8,3.0,4.0,1.7
398969,3.0,3.4,2.6,1.6,4.2,2.11
708169,4.8,4.2,3.4,3.2,3.8,3.99
552054,1.0,2.6,3.0,1.2,3.6,2.16
779751,1.6,2.4,2.2,1.6,4.4,0.92
1015318,4.0,4.0,2.6,3.4,3.8,1.33
914057,4.2,3.2,1.8,2.4,4.2,1.6
729245,2.8,3.2,2.4,3.0,3.4,3.16
595201,1.4,2.8,2.4,3.0,3.6,1.25
244319,2.8,3.6,1.6,3.2,4.0,1.71
760273,2.2,3.0,3.2,2.6,3.4,1.86
272714,1.6,2.8,2.0,2.2,4.4,1.39
543150,1.6,3.0,2.8,4.2,3.6,2.54
627964,3.8,3.2,3.4,3.2,3.2,1.69
445496,2.8,3.6,3.4,3.6,3.6,1.4
190251,2.0,4.2,3.2,2.4,3.2,1.69
845422,3.8,3.0,1.8,4.6,3.4,2.3
989080,3.4,3.2,3.6,4.4,3.8,1.79
183312,1.2,2.8,2.6,3.4,4.0,1.94
228861,2.0,3.6,1.8,3.8,2.4,3.34
189806,3.8,3.2,3.2,3.2,3.0,2.23
266658,1.6,3.0,2.2,4.2,3.8,3.77
212618,3.2,2.8,2.8,2.6,3.2,2.99
