learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
100.0,0.016548,7.568771640459697E-12,100.0,0.0,0.0,0.9101230171544598,0.0,?,0.0,2.8,100.0,1768.0
200.0,0.031174,1.4258453415499794E-11,200.0,0.0,0.0,0.8653904224571235,0.0,?,0.0,1.8,200.0,1768.0
300.0,0.035405,1.6193640314870412E-11,300.0,0.0,0.0,0.8356326562608796,0.0,?,0.0,3.4,300.0,1768.0
400.0,0.039701,1.8158557100428476E-11,400.0,0.0,0.0,0.8488462430277726,0.0,?,0.0,2.8,400.0,1768.0
500.0,0.04236,1.9374738136927286E-11,500.0,0.0,0.0,0.8385829901648687,0.0,?,0.0,1.2,500.0,1768.0
600.0,0.045374,2.0753290090296004E-11,600.0,0.0,0.0,0.8383259664130335,0.0,?,0.0,2.4,600.0,1768.0
700.0,0.048712,2.2280034091737535E-11,700.0,0.0,0.0,0.8338727817994311,0.0,?,0.0,3.2,700.0,1768.0
800.0,0.050658,2.317010114590327E-11,800.0,0.0,0.0,0.8400579109481288,0.0,?,0.0,3.2,800.0,1768.0
900.0,0.052431,2.3981040964523953E-11,900.0,0.0,0.0,0.8342972562079126,1.0,0.0,0.0,3.6,900.0,1768.0
1000.0,0.05475,2.5041711827119192E-11,1000.0,0.0,0.0,0.8385447662172573,1.0,0.0,0.0,2.2,1000.0,1768.0
1100.0,0.05763,2.6358974476655324E-11,1100.0,0.0,0.0,0.8296139823971671,1.0,0.0,0.0,1.8,1100.0,1768.0
1200.0,0.060111,2.7493741363286973E-11,1200.0,0.0,0.0,0.8341864553856378,1.0,0.0,0.0,2.2,1200.0,1768.0
1300.0,0.062193,2.8446012487014135E-11,1300.0,0.0,0.0,0.8341974270780776,1.0,0.0,0.0,2.2,1300.0,1768.0
